ID,subject,object,original_label
1,Communication systems,IP networks,broader
2,Communication systems,Telegraphy,broader
3,Communication systems,Submillimeter wave communication,broader
4,Communication systems,Molecular communication,broader
5,Communication systems,MIMO communication,broader
6,Communication systems,Digital communication,broader
7,Communication systems,Communication system traffic,broader
8,Communication systems,SIMO communication,broader
9,Communication systems,Terahertz communications,broader
10,Communication systems,Data buses,broader
11,Communication systems,Broadband communication,broader
12,Communication systems,Wide area networks,broader
13,Communication systems,MISO communication,broader
14,Communication systems,Cross layer design,broader
15,Communication systems,Data communication,broader
16,Communication systems,Computer networks,broader
17,Communication systems,Teleprinting,broader
18,Communication systems,Metropolitan area networks,broader
19,Communication systems,Quality of experience,broader
20,Communication systems,Facsimile,broader
21,Communication systems,Routing,broader
22,Communication systems,Narrowband,broader
23,Communication systems,Communication networks,broader
24,Communication systems,Communication system security,broader
25,Communication systems,Local area networks,broader
26,Communication systems,Internet,broader
27,Communication systems,Military communication,broader
28,Communication systems,Device-to-device communication,broader
29,Communication systems,Personal communication networks,broader
30,Communication systems,Visual communication,broader
31,Communication systems,Low latency communication,broader
32,Communication systems,Microwave communication,broader
33,Communication systems,Communication system control,broader
34,Communication systems,Synchronous digital hierarchy,broader
35,Communication systems,Underwater communication,broader
36,Communication systems,Satellite communication,broader
37,Communication systems,Wireless mesh networks,broader
38,Circuits,Digital circuits,broader
39,Circuits,Coupling circuits,broader
40,Circuits,Logic circuits,broader
41,Circuits,Radiation detector circuits,broader
42,Circuits,Silicon-on-insulator,broader
43,Circuits,Application specific integrated circuits,broader
44,Circuits,VHF circuits,broader
45,Circuits,Sampled data circuits,broader
46,Circuits,MOSFET circuits,broader
47,Circuits,Circuit noise,broader
48,Circuits,Millimeter wave circuits,broader
49,Circuits,Monolithic integrated circuits,broader
50,Circuits,Passive circuits,broader
51,Circuits,Coprocessors,broader
52,Circuits,Asynchronous circuits,broader
53,Circuits,UHF circuits,broader
54,Circuits,Millimeter wave integrated circuits,broader
55,Circuits,Printed circuits,broader
56,Circuits,Distributed parameter circuits,broader
57,Circuits,Microprocessors,broader
58,Circuits,Magnetic circuits,broader
59,Circuits,Programmable logic devices,broader
60,Circuits,Circuit simulation,broader
61,Circuits,Switching circuits,broader
62,Circuits,Adders,broader
63,Circuits,Equivalent circuits,broader
64,Circuits,Summing circuits,broader
65,Circuits,Ultra large scale integration,broader
66,Circuits,Programmable circuits,broader
67,Circuits,Phase shifters,broader
68,Circuits,Linear circuits,broader
69,Circuits,Thin film circuits,broader
70,Circuits,Bistable circuits,broader
71,Circuits,Counting circuits,broader
72,Circuits,Multiplying circuits,broader
73,Circuits,Time varying circuits,broader
74,Measurement,Wide area measurements,broader
75,Measurement,Calorimetry,broader
76,Measurement,Mechanical variables measurement,broader
77,Measurement,Magnetic variables measurement,broader
78,Measurement,Spectroscopy,broader
79,Measurement,Doppler measurement,broader
80,Measurement,Atomic measurements,broader
81,Measurement,Geophysical measurements,broader
82,Measurement,Geologic measurements,broader
83,Measurement,Distortion measurement,broader
84,Measurement,Anthropometry,broader
85,Measurement,Accelerometers,broader
86,Measurement,Optical variables measurement,broader
87,Measurement,Key performance indicator,broader
88,Measurement,Viscosity,broader
89,Measurement,Moisture measurement,broader
90,Measurement,Dosimetry,broader
91,Measurement,Ultrasonic variables measurement,broader
92,Measurement,Coordinate measuring machines,broader
93,Measurement,Electromagnetic measurements,broader
94,Measurement,Micrometers,broader
95,Measurement,Particle measurements,broader
96,Measurement,Loss measurement,broader
97,Measurement,Wavelength measurement,broader
98,Measurement,Gas chromatography,broader
99,Measurement,Antenna measurements,broader
100,Measurement,Extraterrestrial measurements,broader
101,Measurement,Measurement by laser beam,broader
102,Measurement,Pulse measurements,broader
103,Measurement,Bathymetry,broader
104,Measurement,Plasma measurements,broader
105,Measurement,Software measurement,broader
106,Mathematics,Lattices,broader
107,Mathematics,Optimization,broader
108,Mathematics,Nonlinear systems,broader
109,Mathematics,Probability,broader
110,Mathematics,Equations,broader
111,Mathematics,Gradient methods,broader
112,Mathematics,Harmonic analysis,broader
113,Mathematics,Cyclic redundancy check,broader
114,Mathematics,Sequences,broader
115,Mathematics,Statistics,broader
116,Mathematics,Minimization,broader
117,Mathematics,Stochastic processes,broader
118,Mathematics,Functional analysis,broader
119,Mathematics,Graph theory,broader
120,Mathematics,Dynamical systems,broader
121,Mathematics,Eigenvalues and eigenfunctions,broader
122,Mathematics,Taylor series,broader
123,Mathematics,Root mean square,broader
124,Mathematics,Simulated annealing,broader
125,Mathematics,Random processes,broader
126,Mathematics,Uncertain systems,broader
127,Mathematics,Boundary value problems,broader
128,Mathematics,Combinatorial mathematics,broader
129,Mathematics,Iterative methods,broader
130,Mathematics,Computational efficiency,broader
131,Mathematics,Superposition calculus,broader
132,Mathematics,Fourier series,broader
133,Mathematics,Tensors,broader
134,Mathematics,Closed-form solutions,broader
135,Mathematics,Transmission line matrix methods,broader
136,Mathematics,Quaternions,broader
137,Mathematics,Mathematical models,broader
138,Mathematics,Convergence,broader
139,Chemical elements,Phosphorus,broader
140,Chemical elements,Nitrogen,broader
141,Chemical elements,Rhenium,broader
142,Chemical elements,Arsenic,broader
143,Chemical elements,Promethium,broader
144,Chemical elements,Gadolinium,broader
145,Chemical elements,Osmium,broader
146,Chemical elements,Uranium,broader
147,Chemical elements,Thulium,broader
148,Chemical elements,Oxygen,broader
149,Chemical elements,Iridium,broader
150,Chemical elements,Ytterbium,broader
151,Chemical elements,Isotopes,broader
152,Chemical elements,Aluminum,broader
153,Chemical elements,Lutetium,broader
154,Chemical elements,Yttrium,broader
155,Chemical elements,Molybdenum,broader
156,Chemical elements,Titanium,broader
157,Chemical elements,Tellurium,broader
158,Chemical elements,Potassium,broader
159,Chemical elements,Chlorine,broader
160,Chemical elements,Cerium,broader
161,Chemical elements,Plutonium,broader
